  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    19      32   3.46987640e-05   3.20916029e-04
    19      33   5.59205241e-05   5.86864079e-04
    19      34   3.08016629e-05   4.30017669e-04
    19      35   1.14963733e-04   6.31681314e-04
    19      36   7.81378120e-05   3.18682106e-04
    19      37   3.28552353e-05   5.89316999e-04
    19      38   2.51040904e-05   4.29364691e-04
    19      39   1.27784430e-04   6.32520993e-04
    19      40   8.84520199e-05   3.18875153e-04
    19      41   2.18501028e-05   5.89391545e-04
    19      42   3.52737453e-05   4.29457872e-04
    19      43   1.15611715e-04   6.28245018e-04
    19      44   1.16490548e-04   3.18346645e-04
    19      45   6.87734994e-06   5.90184620e-04
    19      46   2.63142458e-05   4.29674202e-04
    19      47   1.06754866e-04   6.29105753e-04
    19      48   1.15920536e-04   3.17632043e-04
    19      49   1.32142863e-04   5.76116506e-04
    19      50   1.51789463e-04   4.29940705e-04
    20       1   1.06519902e-03   4.60768407e-03
    20       2   1.25286018e+00   2.28098565e-01
    20       3   1.89858705e-03   1.99423293e-01
    20       4   7.76872254e-04   5.65396345e-04
    20       5   6.05509821e-04   4.72068765e-04
    20       6   9.64307431e-04   4.28662607e-03
    20       7   1.61810345e-04   4.22644348e-03
    20       8   1.62315760e-04   1.67293045e-04
    20       9   1.44490416e-03   6.56486475e-03
    20      10   1.65511796e-04   6.36109553e-03
    20      11   2.01820877e-04   1.47761028e-04
    20      12   3.33608072e-03   1.62581815e-02
    20      13   1.50898821e-04   1.66780946e-02
    20      14   2.07095001e-04   2.24648754e-04
    20      15   2.20763150e-04   9.18699595e-05
    20      16   2.27113996e-04   2.61203446e-04
    20      17   2.28333955e-04   1.12731846e-04
    20      18   1.81494858e-04   2.14591651e-04
    20      19   1.73526390e-04   2.08478348e-04
    20      20   4.82104083e-04   3.87646521e-04
    20      21   5.59598615e-04   1.57270240e-04
    20      22   3.19071539e-04   6.05121994e-04
    20      23   2.52514435e-04   1.74066077e-04
    20      24   1.59782753e-04   4.95892735e-04
    20      25   9.96822102e-04   4.20547261e-03
    20      26   1.02903781e-04   4.23458909e-03
    20      27   1.89700879e-04   1.74527759e-04
    20      28   1.48022038e-03   6.56600803e-03
    20      29   1.72909956e-04   6.36480334e-03
    20      30   2.28818338e-04   1.49188882e-04
    20      31   3.34404859e-03   1.62561242e-02
    20      32   1.30131814e-04   1.66818471e-02
    20      33   1.94122582e-04   2.24807171e-04
    20      34   2.04070401e-04   9.19844631e-05
    20      35   2.50758015e-04   2.65824465e-04
    20      36   2.40333442e-04   1.12241107e-04
    20      37   2.03474610e-04   2.13478123e-04
    20      38   1.86645711e-04   2.09203089e-04
    20      39   5.66725461e-04   4.00238062e-04
    20      40   6.30751170e-04   1.56735503e-04
    20      41   3.46214977e-04   6.04488398e-04
    20      42   2.99297322e-04   1.73098906e-04
    20      43   1.70338528e-04   4.99634411e-04
    20      44   9.97300855e-04   4.20438191e-03
    20      45   1.07322020e-04   4.23415572e-03
    20      46   1.96743206e-04   1.74868210e-04
