t_s,face_idx,x_m,y_m,z_m,P_Pa
0.62,456,0.00157835,0.001923225,0.0275,39105.30951899115
0.64,213,0.00238083,0.0007222175,0.0265,6488.160532277234
0.64,214,0.00219419,0.0011728195,0.0265,26840.974769015003
0.64,215,0.0019232249999999998,0.00157835,0.0265,53418.53103371526
0.64,220,0.00247598,0.00024386299999999995,0.0275,14538.92458942545
0.64,221,0.00238083,0.0007222175,0.0275,21027.063962477023
0.64,222,0.00219419,0.0011728195,0.0275,26840.87999458289
0.64,223,0.0019232249999999998,0.00157835,0.0275,53418.43707084755
0.64,226,0.00238083,-0.0007222175,0.0285,5123.1589940298545
0.64,227,0.00247598,-0.00024386300000000006,0.0285,5123.161809888304
0.64,228,0.00247598,0.00024386299999999995,0.0285,14538.972218726467
0.64,229,0.00238083,0.0007222175,0.0285,14538.958831584192
0.64,234,0.00238083,-0.0007222175,0.0295,5123.167154830691
0.64,235,0.00247598,-0.00024386300000000006,0.0295,5123.164615713807
0.64,448,0.00157835,0.001923225,0.0265,33065.720176847804
0.64,456,0.00157835,0.001923225,0.0275,33065.67469158916
0.66,213,0.00238083,0.0007222175,0.0265,8990.741736308522
0.66,214,0.00219419,0.0011728195,0.0265,36850.98336588727
0.66,215,0.0019232249999999998,0.00157835,0.0265,48676.78152812591
0.66,220,0.00247598,0.00024386299999999995,0.0275,9989.375117553649
0.66,221,0.00238083,0.0007222175,0.0275,18980.077666627185
0.66,222,0.00219419,0.0011728195,0.0275,36850.94099168297
0.66,223,0.0019232249999999998,0.00157835,0.0275,48676.79503932033
0.66,226,0.00238083,-0.0007222175,0.0285,5160.667167115993
0.66,227,0.00247598,-0.00024386300000000006,0.0285,5160.670198232008
0.66,228,0.00247598,0.00024386299999999995,0.0285,9989.376189937988
0.66,229,0.00238083,0.0007222175,0.0285,9989.380163483618
0.66,234,0.00238083,-0.0007222175,0.0295,5160.670857456422
0.66,235,0.00247598,-0.00024386300000000006,0.0295,5160.670301911274
0.66,448,0.00157835,0.001923225,0.0265,20816.562729384506
0.66,456,0.00157835,0.001923225,0.0275,20816.575258886845
0.68,207,0.0019232249999999998,0.00157835,0.0255,26870.02592553457
0.68,213,0.00238083,0.0007222175,0.0265,34207.45881581384
0.68,214,0.00219419,0.0011728195,0.0265,34208.37878619798
0.68,215,0.0019232249999999998,0.00157835,0.0265,26871.108737878683
0.68,219,0.00247598,-0.00024386300000000006,0.0275,5127.470263120889
0.68,220,0.00247598,0.00024386299999999995,0.0275,5127.50814559197
0.68,221,0.00238083,0.0007222175,0.0275,34207.490429449805
0.68,222,0.00219419,0.0011728195,0.0275,34208.29892771051
0.68,223,0.0019232249999999998,0.00157835,0.0275,1.1241796395972488
0.68,227,0.00247598,-0.00024386300000000006,0.0285,5127.485617767055
0.68,228,0.00247598,0.00024386299999999995,0.0285,5127.511876251482
0.68,440,0.00157835,0.001923225,0.0255,26870.02422386143
0.68,448,0.00157835,0.001923225,0.0265,26870.320431972897
0.7,206,0.00219419,0.0011728195,0.0255,16708.821686908388
0.7,207,0.0019232249999999998,0.00157835,0.0255,40522.49690283164
0.7,213,0.00238083,0.0007222175,0.0265,8845.906039038624
0.7,214,0.00219419,0.0011728195,0.0265,25554.76058609041
0.7,215,0.0019232249999999998,0.00157835,0.0265,40522.51898318391
0.7,219,0.00247598,-0.00024386300000000006,0.0275,13270.342172469744
0.7,220,0.00247598,0.00024386299999999995,0.0275,13270.327683719795
0.7,221,0.00238083,0.0007222175,0.0275,8845.904527644416
0.7,222,0.00219419,0.0011728195,0.0275,8845.902796600243
0.7,227,0.00247598,-0.00024386300000000006,0.0285,13270.301720272413
0.7,228,0.00247598,0.00024386299999999995,0.0285,13270.353192699884
0.7,440,0.00157835,0.001923225,0.0255,23813.699513786178
0.7,448,0.00157835,0.001923225,0.0265,23813.69211461339
0.72,206,0.00219419,0.0011728195,0.0255,21879.830409534716
0.72,207,0.0019232249999999998,0.00157835,0.0255,38221.52705182775
0.72,212,0.00247598,0.00024386299999999995,0.0265,13005.951429899314
0.72,213,0.00238083,0.0007222175,0.0265,13005.891317110872
0.72,214,0.00219419,0.0011728195,0.0265,21879.839200963062
0.72,215,0.0019232249999999998,0.00157835,0.0265,38221.55413282013
0.72,219,0.00247598,-0.00024386300000000006,0.0275,7654.978073704327
0.72,220,0.00247598,0.00024386299999999995,0.0275,20660.941401264852
0.72,221,0.00238083,0.0007222175,0.0275,13005.874745952307
0.72,227,0.00247598,-0.00024386300000000006,0.0285,7654.976712724409
0.72,228,0.00247598,0.00024386299999999995,0.0285,7654.978778437273
0.72,440,0.00157835,0.001923225,0.0255,16341.546093809484
0.72,448,0.00157835,0.001923225,0.0265,16341.569735236575
0.74,206,0.00219419,0.0011728195,0.0255,35941.72690077788
0.74,207,0.0019232249999999998,0.00157835,0.0255,35941.78079449598
0.74,211,0.00247598,-0.00024386300000000006,0.0265,5398.872766542105
0.74,212,0.00247598,0.00024386299999999995,0.0265,5973.1863115839615
0.74,213,0.00238083,0.0007222175,0.0265,574.312470081958
0.74,214,0.00219419,0.0011728195,0.0265,35941.772074605615
0.74,215,0.0019232249999999998,0.00157835,0.0265,35941.80703807893
0.74,219,0.00247598,-0.00024386300000000006,0.0275,11422.40073454635
0.74,220,0.00247598,0.00024386299999999995,0.0275,11996.778916400852
0.74,221,0.00238083,0.0007222175,0.0275,574.3127021802757
0.74,227,0.00247598,-0.00024386300000000006,0.0285,6023.57334359141
0.74,228,0.00247598,0.00024386299999999995,0.0285,6023.5749161229005
0.76,205,0.00238083,0.0007222175,0.0255,8556.542020623752
0.76,206,0.00219419,0.0011728195,0.0255,22757.612431834757
0.76,207,0.0019232249999999998,0.00157835,0.0255,27348.857084384716
0.76,211,0.00247598,-0.00024386300000000006,0.0265,6292.820329864662
0.76,212,0.00247598,0.00024386299999999995,0.0265,6292.815893395738
0.76,213,0.00238083,0.0007222175,0.0265,8556.535082339113
