  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    86       1   1.28620145e+00   1.55861853e+00
    86       2   2.93467464e-03   7.42482967e-01
    86       3   5.95754648e-05   3.81438202e-03
    86       4   8.86253710e-07   7.22011710e-05
    87       1   7.03498863e+00   2.17780167e+00
    87       2   1.05841316e-03   1.16129864e+00
    87       3   5.23636897e-05   1.16327701e-03
    87       4   9.27722841e-07   6.37376402e-05
    88       1   6.47065338e+00   1.89835572e+00
    88       2   1.66289994e-03   1.57581401e+00
    88       3   2.86576731e-05   2.44780889e-03
    88       4   3.33607678e-06   2.91123651e-05
    89       1   3.07822867e+00   1.65907761e+00
    89       2   2.96948800e-04   1.98830379e+00
    89       3   5.53630124e-05   1.25401571e-03
    89       4   3.09800641e-06   6.45855556e-05
    90       1   2.29627662e+00   1.51032056e+00
    90       2   4.10641379e-04   2.39539785e+00
    90       3   4.10913110e-05   2.01934284e-03
    90       4   1.53051129e-06   5.00045367e-05
    91       1   1.95018693e+00   1.41313067e+00
    91       2   1.76138014e-03   2.79416233e+00
    91       3   7.21362496e-06   3.99446490e-03
    91       4   1.25726060e-06   6.62765379e-06
    92       1   1.75534142e+00   1.34517550e+00
    92       2   2.54770107e-03   3.18663946e+00
    92       3   7.46705552e-07   5.48487250e-03
    92       4   1.80749686e-07   2.43107280e-06
    93       1   1.63151201e+00   1.29522411e+00
    93       2   2.84791693e-03   3.56915349e+00
    93       3   3.00933781e-05   6.44072460e-03
    93       4   6.04570568e-07   4.02805831e-05
    94       1   1.54656794e+00   1.25692551e+00
    94       2   3.08239911e-03   3.93739888e+00
    94       3   2.17203451e-05   7.29870771e-03
    94       4   1.13003375e-06   3.08261884e-05
    95       1   1.48549290e+00   1.22660238e+00
    95       2   3.68479872e-03   4.28455509e+00
    95       3   4.04043682e-05   8.53980967e-03
    95       4   4.85324752e-07   5.77386482e-05
    96       1   1.44030826e+00   1.20195970e+00
    96       2   4.03748488e-03   4.60588433e+00
    96       3   3.64197598e-05   9.40956036e-03
    96       4   2.37961124e-06   5.47020196e-05
    97       1   1.40651351e+00   1.18152051e+00
    97       2   4.37757534e-03   4.89183452e+00
    97       3   5.29680734e-05   1.02064720e-02
    97       4   1.36896625e-06   7.20829730e-05
    98       1   1.38147588e+00   1.16429994e+00
    98       2   4.81049539e-03   5.13101618e+00
    98       3   7.28286824e-05   1.10032214e-02
    98       4   1.85273543e-06   1.04947509e-04
    99       1   1.36344884e+00   1.14955161e+00
    99       2   4.84748304e-03   5.31503214e+00
    99       3   1.20036010e-04   1.11861383e-02
    99       4   2.12887050e-05   1.88504208e-04
   100       1   1.35150160e+00   1.13676115e+00
   100       2   4.72695174e-03   5.43161610e+00
   100       3   8.78022905e-05   1.09822232e-02
   100       4   6.74911583e-07   1.21523038e-04
   101       1   1.34589011e+00   1.12571251e+00
   101       2   4.52796646e-03   5.46155451e+00
   101       3   5.08604324e-05   1.05034121e-02
   101       4   1.84014836e-07   6.96314243e-05
   102       1   1.34628097e+00   1.11596540e+00
   102       2   4.46887139e-03   5.40079600e+00
   102       3   5.84578820e-05   1.00981065e-02
   102       4   2.42247766e-07   7.89578323e-05
   103       1   1.35381987e+00   1.10735701e+00
   103       2   4.15356200e-03   5.24053361e+00
   103       3   4.74307799e-05   9.22693685e-03
   103       4   1.26301420e-07   6.32114417e-05
   104       1   1.37043068e+00   1.09968760e+00
   104       2   3.73467197e-03   4.97709712e+00
   104       3   4.49398538e-05   8.14059400e-03
   104       4   1.68723160e-07   5.85199352e-05
   105       1   1.39973082e+00   1.09272051e+00
   105       2   3.22217184e-03   4.61268156e+00
   105       3   3.28993575e-05   6.88172279e-03
   105       4   5.93430750e-08   4.19555013e-05
   106       1   1.44873882e+00   1.08607120e+00
   106       2   2.64797625e-03   4.15473715e+00
   106       3   2.52220997e-05   5.55244571e-03
   106       4   7.56193896e-08   3.06533582e-05
   107       1   1.53235537e+00   1.07892059e+00
   107       2   2.01197518e-03   3.61513582e+00
   107       3   1.97319325e-05   4.21188100e-03
   107       4   5.42370382e-07   2.14384011e-05
   108       1   1.68787541e+00   1.06910669e+00
   108       2   1.52828141e-03   3.00849136e+00
   108       3   5.67318713e-06   3.08149554e-03
   108       4   4.10869528e-07   6.45245616e-06
   109       1   2.04042752e+00   1.05002623e+00
   109       2   9.95478674e-04   2.35117800e+00
   109       3   1.01532497e-05   1.89515989e-03
   109       4   1.68527604e-07   9.92345285e-06
   110       1   3.42655532e+00   9.97781943e-01
   110       2   5.48609613e-04   1.66071508e+00
   110       3   1.73744921e-05   1.42279587e-03
   110       4   2.89493432e-06   2.02945557e-05
   111       1   4.49054699e+00   8.13949813e-01
   111       2   2.30123765e-05   9.50781371e-01
   111       3   2.79172874e-06   1.56161198e-04
   112       1   2.65251745e-01   2.52061945e-01
   112       2   6.82373575e-05   2.41133628e-01
   112       3   1.81955150e-05   3.05629433e-04
   113       1   2.85640433e-01   3.83300806e-01
   113       2   1.33415919e-03   4.58822669e-01
   113       3   1.19844973e-05   2.22678611e-03
   113       4   6.76713971e-07   1.76526711e-05
   114       1   4.99449378e-01   6.72484993e-01
   114       2   8.90135190e-04   1.13994079e+00
   114       3   3.38221033e-05   1.19781263e-03
   114       4   7.23786424e-07   3.57828255e-05
   115       1   6.09059337e-01   7.88706987e-01
   115       2   2.32041273e-03   1.78900185e+00
   115       3   2.47712424e-05   2.76334471e-03
   115       4   3.14129769e-07   2.84768420e-05
   116       1   6.73336018e-01   8.41417748e-01
   116       2   7.96332175e-04   2.39970217e+00
   116       3   4.10568006e-05   7.46544654e-04
   117       1   7.14196838e-01   8.67647757e-01
   117       2   8.41989842e-04   2.94161271e+00
   117       3   3.16587833e-06   1.81577973e-03
   117       4   4.56981276e-07   2.91777172e-06
   118       1   7.40492891e-01   8.81155290e-01
   118       2   1.21052141e-03   3.40540686e+00
   118       3   1.94372225e-06   2.61929795e-03
   118       4   2.89395124e-09   2.24934641e-06
   119       1   7.58020764e-01   8.87956024e-01
   119       2   1.81395060e-03   3.79170891e+00
   119       3   5.88880818e-07   3.75400260e-03
   119       4   9.67667038e-08   7.12428085e-07
   120       1   7.69271475e-01   8.90420004e-01
   120       2   2.22889566e-03   4.09249828e+00
   120       3   1.99900199e-05   4.66373925e-03
   120       4   1.69864121e-08   2.62872215e-05
   121       1   7.75907191e-01   8.89921370e-01
   121       2   2.51512081e-03   4.30564764e+00
   121       3   2.67123010e-05   5.40318477e-03
   121       4   1.62807861e-07   3.54254702e-05
   122       1   7.78958121e-01   8.87231580e-01
   122       2   2.70597304e-03   4.43262908e+00
   122       3   3.06246021e-05   5.96484243e-03
   122       4   2.17719087e-07   4.02177299e-05
   123       1   7.79073301e-01   8.82785317e-01
   123       2   2.85846232e-03   4.47816866e+00
   123       3   3.34012374e-05   6.41373312e-03
   123       4   7.82053781e-08   4.48291790e-05
   124       1   7.76662660e-01   8.76822466e-01
   124       2   2.93702266e-03   4.45022862e+00
   124       3   3.52907773e-05   6.68175178e-03
   124       4   7.24098242e-08   4.79682256e-05
   125       1   7.71959879e-01   8.69435504e-01
   125       2   2.94601291e-03   4.35803956e+00
   125       3   3.56688938e-05   6.77393714e-03
   125       4   1.04555104e-07   4.88152231e-05
   126       1   7.65071917e-01   8.60623804e-01
   126       2   2.87714752e-03   4.21150472e+00
   126       3   3.56807874e-05   6.67513419e-03
   126       4   2.30352734e-08   4.87964156e-05
   127       1   7.56004261e-01   8.50306822e-01
   127       2   2.74745907e-03   4.02027828e+00
   127       3   3.29912624e-05   6.42194977e-03
   127       4   2.38280072e-07   4.49890093e-05
   128       1   7.44661458e-01   8.38322316e-01
   128       2   2.55573442e-03   3.79324713e+00
   128       3   3.28522890e-05   6.01209668e-03
   128       4   9.60804168e-08   4.51007290e-05
   129       1   7.30857142e-01   8.24426864e-01
   129       2   2.33846723e-03   3.53821432e+00
   129       3   2.59184462e-05   5.52012077e-03
   129       4   1.73510779e-07   3.51616022e-05
   130       1   7.14284129e-01   8.08266374e-01
   130       2   2.07849348e-03   3.26187003e+00
   130       3   2.37218384e-05   4.92522815e-03
   130       4   2.29493274e-07   3.27002332e-05
   131       1   6.94515605e-01   7.89353035e-01
   131       2   1.79377214e-03   2.96981717e+00
   131       3   2.06621923e-05   4.26495429e-03
   131       4   1.79591605e-07   2.83392801e-05
   132       1   6.70930950e-01   7.66989851e-01
   132       2   1.51346078e-03   2.66625610e+00
   132       3   1.47764014e-05   3.61727216e-03
   132       4   8.07679320e-08   2.05665251e-05
   133       1   6.42694381e-01   7.40218903e-01
   133       2   1.23238389e-03   2.35495549e+00
   133       3   8.04718838e-06   2.95315652e-03
   133       4   2.38034561e-07   1.17900623e-05
   134       1   6.08620968e-01   7.07634057e-01
   134       2   1.00273737e-03   2.03855540e+00
   134       3   8.80677334e-06   2.34868203e-03
   134       4   3.80796843e-08   1.12046770e-05
   135       1   5.67033551e-01   6.67180124e-01
   135       2   8.13610577e-04   1.71940930e+00
   135       3   1.91041586e-05   1.81485595e-03
   135       4   5.99131474e-06   2.84512285e-05
   136       1   5.15387526e-01   6.15589068e-01
   136       2   5.68646596e-04   1.39894082e+00
   136       3   1.08320504e-05   1.27609851e-03
   136       4   4.12222724e-07   1.32622932e-05
   137       1   4.50355974e-01   5.48132558e-01
   137       2   2.96412517e-04   1.08038846e+00
   137       3   3.32891531e-07   7.54778604e-04
   138       1   3.65878865e-01   4.56009892e-01
   138       2   1.46642990e-04   7.63360690e-01
   138       3   5.93806006e-06   2.33081262e-04
   139       1   2.52794018e-01   3.24420130e-01
   139       2   2.06565714e-04   4.48330252e-01
   139       3   6.79921945e-06   3.12860924e-04
   140       1   9.31044947e-02   1.23597980e-01
   140       2   5.79028930e-04   1.35994183e-01
   140       3   1.74726577e-05   7.28169953e-04
   141       1   1.42434258e-01   1.95239257e-01
   141       2   5.50683534e-06   1.66072332e-01
   141       3   2.42259863e-06   4.83358353e-05
   142       1   5.45099574e-01   7.34029356e-01
   142       2   1.31690425e-04   4.72610023e-01
   142       3   8.02243610e-06   1.93892280e-04
   143       1   1.35394542e+00   1.44760520e+00
   143       2   6.61565763e-04   7.73247093e-01
   143       3   1.11243021e-05   8.15902539e-04
   144       1   3.76661943e+00   1.83557761e+00
   144       2   1.28297947e-04   1.06705931e+00
   144       3   2.39477028e-05   2.48857441e-04
   145       1   6.61514334e+01   1.81124060e+00
   145       2   4.10584384e-04   1.35368935e+00
   145       3   1.65935509e-05   8.35065166e-04
   146       1   6.06087869e+00   1.68815705e+00
   146       2   5.85912792e-04   1.62878537e+00
   146       3   7.54481212e-06   1.24168608e-03
   146       4   3.47155348e-07   1.08126438e-05
   147       1   3.60026422e+00   1.57805565e+00
   147       2   6.76121491e-04   1.89181147e+00
   147       3   2.01773109e-05   1.58217233e-03
   147       4   4.99364623e-07   2.66539071e-05
   148       1   2.78033958e+00   1.49254768e+00
   148       2   7.04680047e-04   2.14324906e+00
   148       3   4.32323515e-06   1.82736084e-03
   148       4   1.99183865e-07   6.22975444e-06
   149       1   2.37696070e+00   1.42747627e+00
   149       2   1.01373061e-03   2.37860093e+00
   149       3   4.99489639e-06   2.42856580e-03
   149       4   4.55349647e-08   6.37882819e-06
   150       1   2.14110160e+00   1.37735504e+00
   150       2   1.20148243e-03   2.59499760e+00
   150       3   5.45285850e-06   2.85729202e-03
   150       4   1.04841656e-07   7.31114345e-06
   151       1   1.98983996e+00   1.33804712e+00
   151       2   1.37723892e-03   2.78908129e+00
   151       3   1.44012774e-05   3.25354198e-03
   151       4   6.78626445e-07   2.36098528e-05
   152       1   1.88816116e+00   1.30673392e+00
   152       2   1.55435685e-03   2.95706993e+00
   152       3   1.05235825e-05   3.65475244e-03
