# Time forceX forceY forceZ normalForce
0.5 0.0239584 -9059.08 2.08086e-20 -9059.08
0.502 0.0239586 -9114.18 2.08086e-20 -9114.18
0.504 0.0239588 -9169.27 2.08086e-20 -9169.27
0.506 0.023959 -9224.37 2.08086e-20 -9224.37
0.508 0.0239592 -9279.46 2.08086e-20 -9279.46
0.51 0.0239593 -9334.55 2.08086e-20 -9334.55
0.512 0.0239594 -9389.65 2.08086e-20 -9389.65
0.514 0.0239595 -9444.74 2.08086e-20 -9444.74
0.516 0.0239596 -9499.84 2.08086e-20 -9499.84
0.518 0.0239597 -9554.93 2.08086e-20 -9554.93
0.52 0.0239597 -9610.03 2.08086e-20 -9610.03
0.522 0.0239598 -9665.12 2.08086e-20 -9665.12
0.524 0.0239598 -9720.22 2.08086e-20 -9720.22
0.526 0.0239598 -9775.31 2.08086e-20 -9775.31
0.528 0.0239599 -9830.4 2.08086e-20 -9830.4
0.53 0.0239599 -9885.5 2.08086e-20 -9885.5
0.532 0.0239599 -9940.59 2.08086e-20 -9940.59
0.534 0.0239598 -9995.69 2.08086e-20 -9995.69
0.536 0.0239598 -10050.8 2.08086e-20 -10050.8
0.538 0.0239598 -10105.9 2.08086e-20 -10105.9
0.54 0.0239598 -10161 2.08086e-20 -10161
0.542 0.0239597 -10216.1 2.08086e-20 -10216.1
0.544 0.0239597 -10271.2 2.08086e-20 -10271.2
0.546 0.0239596 -10326.3 2.08086e-20 -10326.3
0.548 0.0239596 -10381.3 2.08086e-20 -10381.3
0.55 0.0239595 -10436.4 2.08086e-20 -10436.4
0.552 0.0239594 -10491.5 2.08086e-20 -10491.5
0.554 0.0239593 -10546.6 2.08086e-20 -10546.6
0.556 0.0239593 -10601.7 2.08086e-20 -10601.7
0.558 0.0239592 -10656.8 2.08086e-20 -10656.8
0.56 0.0239591 -10711.9 2.08086e-20 -10711.9
0.562 0.023959 -10767 2.08086e-20 -10767
0.564 0.0239589 -10822.1 2.08086e-20 -10822.1
0.566 -0.120962 -7618.94 3.11886e-20 -7618.94
0.568 -0.0618271 -7670.65 3.11886e-20 -7670.65
0.57 -0.031792 -7722.45 3.11886e-20 -7722.45
0.572 -0.0161484 -7774.26 3.11886e-20 -7774.26
0.574 -0.00784467 -7826.08 3.11886e-20 -7826.08
0.576 -0.00337459 -7877.9 3.11886e-20 -7877.9
0.578 -0.000943017 -7929.73 3.11886e-20 -7929.73
0.58 0.000389968 -7981.55 3.11886e-20 -7981.55
0.582 0.00112495 -8033.38 3.11886e-20 -8033.38
0.584 0.00153198 -8085.2 3.11886e-20 -8085.2
0.586 0.00175812 -8137.03 3.11886e-20 -8137.03
0.588 0.00188407 -8188.86 3.11886e-20 -8188.86
0.59 0.00195434 -8240.68 3.11886e-20 -8240.68
0.592 0.00199359 -8292.51 3.11886e-20 -8292.51
0.594 0.00201552 -8344.34 3.11886e-20 -8344.34
0.596 0.00202776 -8396.16 3.11886e-20 -8396.16
0.598 0.00203458 -8447.99 3.11886e-20 -8447.99
0.6 0.00203836 -8499.81 3.11886e-20 -8499.81
0.602 0.00204043 -8551.64 3.11886e-20 -8551.64
0.604 0.00204155 -8603.47 3.11886e-20 -8603.47
0.606 0.00204213 -8655.29 3.11886e-20 -8655.29
0.608 0.00204241 -8707.12 3.11886e-20 -8707.12
0.61 0.00204252 -8758.95 3.11886e-20 -8758.95
0.612 0.00204254 -8810.77 3.11886e-20 -8810.77
0.614 0.0020425 -8862.6 3.11886e-20 -8862.6
0.616 0.00204244 -8914.43 3.11886e-20 -8914.43
0.618 0.00204235 -8966.25 3.11886e-20 -8966.25
0.62 0.00204227 -9018.08 3.11886e-20 -9018.08
0.622 0.00204217 -9069.91 3.11886e-20 -9069.91
0.624 0.00204208 -9121.73 3.11886e-20 -9121.73
0.626 0.00204198 -9173.56 3.11886e-20 -9173.56
0.628 0.00204189 -9225.39 3.11886e-20 -9225.39
0.63 0.00204179 -9277.21 3.11886e-20 -9277.21
0.632 0.0020417 -9329.04 3.11886e-20 -9329.04
0.634 0.00204161 -9380.87 3.11886e-20 -9380.87
0.636 0.00204152 -9432.69 3.11886e-20 -9432.69
0.638 0.00204143 -9484.52 3.11886e-20 -9484.52
0.64 0.00204135 -9536.35 3.11886e-20 -9536.35
0.642 0.00204126 -9588.17 3.11886e-20 -9588.17
0.644 0.00204118 -9640 3.11886e-20 -9640
0.646 0.0020411 -9691.83 3.11886e-20 -9691.83
0.648 0.00204103 -9743.65 3.11886e-20 -9743.65
0.65 0.00204095 -9795.48 3.11886e-20 -9795.48
0.652 0.00204088 -9847.3 3.11886e-20 -9847.3
0.654 0.00204081 -9899.13 3.11886e-20 -9899.13
0.656 0.00204074 -9950.96 3.11886e-20 -9950.96
0.658 0.00204067 -10002.8 3.11886e-20 -10002.8
0.66 0.00204061 -10054.6 3.11886e-20 -10054.6
0.662 0.00204055 -10106.4 3.11886e-20 -10106.4
0.664 0.00204049 -10158.3 3.11886e-20 -10158.3
0.666 0.00204043 -10210.1 3.11886e-20 -10210.1
0.668 0.00204038 -10261.9 3.11886e-20 -10261.9
0.67 0.00204033 -10313.7 3.11886e-20 -10313.7
0.672 0.00204028 -10365.6 3.11886e-20 -10365.6
0.674 0.00204023 -10417.4 3.11886e-20 -10417.4
0.676 0.00204019 -10469.2 3.11886e-20 -10469.2
0.678 0.00204015 -10521 3.11886e-20 -10521
0.68 0.00204011 -10572.9 3.11886e-20 -10572.9
0.682 0.00204007 -10624.7 3.11886e-20 -10624.7
0.684 0.00204004 -10676.5 3.11886e-20 -10676.5
0.686 0.00204001 -10728.4 3.11886e-20 -10728.4
0.688 0.00203998 -10780.2 3.11886e-20 -10780.2
0.69 0.00203995 -10832 3.11886e-20 -10832
0.692 -0.130388 -7625.38 4.15688e-20 -7625.38
0.694 -0.0774399 -7674.51 4.15688e-20 -7674.51
0.696 -0.0504347 -7723.71 4.15688e-20 -7723.71
0.698 -0.036326 -7772.92 4.15688e-20 -7772.92
0.7 -0.0288207 -7822.13 4.15688e-20 -7822.13
0.702 -0.0247741 -7871.35 4.15688e-20 -7871.35
0.704 -0.0225705 -7920.57 4.15688e-20 -7920.57
0.706 -0.0213616 -7969.79 4.15688e-20 -7969.79
0.708 -0.0206946 -8019.01 4.15688e-20 -8019.01
0.71 -0.020325 -8068.23 4.15688e-20 -8068.23
0.712 -0.0201196 -8117.45 4.15688e-20 -8117.45
0.714 -0.0200052 -8166.67 4.15688e-20 -8166.67
0.716 -0.0199412 -8215.89 4.15688e-20 -8215.89
0.718 -0.0199055 -8265.11 4.15688e-20 -8265.11
0.72 -0.0198854 -8314.33 4.15688e-20 -8314.33
0.722 -0.0198742 -8363.55 4.15688e-20 -8363.55
0.724 -0.0198679 -8412.77 4.15688e-20 -8412.77
0.726 -0.0198643 -8461.99 4.15688e-20 -8461.99
0.728 -0.0198623 -8511.21 4.15688e-20 -8511.21
0.73 -0.0198612 -8560.44 4.15688e-20 -8560.44
0.732 -0.0198605 -8609.66 4.15688e-20 -8609.66
0.734 -0.0198601 -8658.88 4.15688e-20 -8658.88
0.736 -0.0198599 -8708.1 4.15688e-20 -8708.1
0.738 -0.0198597 -8757.32 4.15688e-20 -8757.32
0.74 -0.0198596 -8806.54 4.15688e-20 -8806.54
0.742 -0.0198596 -8855.76 4.15688e-20 -8855.76
0.744 -0.0198595 -8904.98 4.15688e-20 -8904.98
0.746 -0.0198594 -8954.2 4.15688e-20 -8954.2
0.748 -0.0198594 -9003.42 4.15688e-20 -9003.42
0.75 -0.0198593 -9052.64 4.15688e-20 -9052.64
0.752 -0.0198592 -9101.86 4.15688e-20 -9101.86
0.754 -0.0198592 -9151.09 4.15688e-20 -9151.09
0.756 -0.0198591 -9200.31 4.15688e-20 -9200.31
