  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
   113       3   1.57870652e-08   3.36013235e-06
   114       1   1.04056050e-01   8.12491221e-02
   114       2   2.02623468e-06   8.12974560e-02
   114       3   3.65617312e-08   1.52950442e-06
   115       1   9.29790503e-02   7.24463884e-02
   115       2   1.40570316e-05   7.20154937e-02
   115       3   2.85664425e-07   1.01146472e-05
   116       1   7.77105373e-02   6.03066051e-02
   116       2   1.97732339e-06   5.94336272e-02
   116       3   7.10498941e-08   1.58782008e-06
   117       1   5.90159739e-02   4.55396522e-02
   117       2   1.02980086e-05   4.44143420e-02
   117       3   7.40075273e-08   7.49361286e-06
   118       1   3.78061206e-02   2.89679596e-02
   118       2   4.21751378e-06   2.79159199e-02
   118       3   9.42343766e-08   2.90377609e-06
   119       1   1.51319998e-02   1.14961289e-02
   119       2   1.83525097e-06   1.09518494e-02
   119       3   3.59773001e-07   1.09434989e-06
   120       1   7.73756865e-03   5.85561359e-03
   120       2   6.74683630e-06   5.49531213e-03
   120       3   3.80185136e-07   5.51041569e-06
   121       1   2.96328394e-02   2.21506010e-02
   121       2   1.74177222e-05   2.05962250e-02
   121       3   2.67778759e-06   1.29669919e-05
   122       1   4.95337082e-02   3.66739393e-02
   122       2   1.76505901e-05   3.38275669e-02
   122       3   3.80726931e-07   9.69412196e-06
   123       1   6.61867655e-02   4.86544346e-02
   123       2   8.77594247e-06   4.45414838e-02
   123       3   1.89304123e-07   5.94631759e-06
   124       1   7.84467621e-02   5.73144538e-02
   124       2   1.17542827e-06   5.21793027e-02
   124       3   8.42515940e-08   1.15673322e-06
   125       1   8.56235312e-02   6.22749925e-02
   125       2   3.89132520e-06   5.65287467e-02
   125       3   1.01873534e-07   2.66122280e-06
   126       1   8.74289499e-02   6.34233217e-02
   126       2   1.90884275e-05   5.75207928e-02
   126       3   2.46012627e-08   1.34685904e-05
   127       1   8.39661379e-02   6.08778895e-02
   127       2   3.83077389e-07   5.53170692e-02
   127       3   1.04236016e-07   3.05951221e-07
   128       1   7.57777189e-02   5.50183361e-02
   128       2   1.94270786e-06   5.01789197e-02
   128       3   5.07383899e-09   1.33804142e-06
   129       1   6.37209636e-02   4.64095964e-02
   129       2   1.99069965e-06   4.25573983e-02
   129       3   3.13403760e-10   1.37560096e-06
   130       1   4.88856913e-02   3.57664907e-02
   130       2   1.87969364e-06   3.30162694e-02
   130       3   3.15127317e-07   1.34882672e-06
   131       1   3.24396737e-02   2.38653028e-02
   131       2   3.92536295e-06   2.21967533e-02
   131       3   8.36942892e-08   2.50866848e-06
   132       1   1.55691501e-02   1.15214034e-02
   132       2   3.02151212e-06   1.08078218e-02
   132       3   1.02757308e-07   2.82978357e-06
   133       1   6.64827304e-04   5.12876593e-04
   133       2   6.40898569e-05   5.09529535e-04
   133       3   2.54928532e-06   3.80967714e-05
   134       1   1.54025690e-02   1.15517669e-02
   134       2   2.52259880e-04   1.11303016e-02
   134       3   9.70483581e-05   2.00570432e-04
   134       4   7.35448433e-05   1.46504425e-05
   135       1   2.68403926e-02   2.02088468e-02
   135       2   8.54127305e-05   1.93029642e-02
   135       3   5.24096388e-06   4.93855062e-05
   136       1   3.81611772e-02   2.88772015e-02
   136       2   2.37826464e-05   2.78103047e-02
   136       3   4.40309427e-07   1.59089483e-05
   137       1   4.56272892e-02   3.46721705e-02
   137       2   6.06987534e-06   3.35380372e-02
   137       3   9.92816656e-07   3.34089918e-06
   138       1   5.00186863e-02   3.81157982e-02
   138       2   2.33757177e-06   3.69573399e-02
   138       3   5.42363497e-08   1.61771300e-06
   139       1   5.15080079e-02   3.93159867e-02
   139       2   5.64124606e-06   3.81514238e-02
   139       3   1.02248241e-07   3.29604155e-06
   140       1   5.01838910e-02   3.83282223e-02
   140       2   3.14901115e-07   3.71722594e-02
   140       3   3.10346311e-08   3.31812900e-07
   141       1   4.63024159e-02   3.53477927e-02
   141       2   6.53198774e-07   3.42119996e-02
   141       3   5.74876859e-09   5.66635990e-07
   142       1   4.01987905e-02   3.06445948e-02
   142       2   2.24524038e-06   2.95614348e-02
   142       3   1.91760363e-08   1.59359427e-06
   143       1   3.22801955e-02   2.45521783e-02
   143       2   1.08438033e-06   2.35871117e-02
   143       3   1.27872130e-08   8.03084805e-07
   144       1   2.30219363e-02   1.74583053e-02
   144       2   4.35899703e-06   1.66933126e-02
   144       3   2.63435344e-08   3.20449761e-06
   145       1   1.29395873e-02   9.77751163e-03
   145       2   2.97276088e-05   9.27695031e-03
   145       3   1.21510918e-06   2.21750511e-05
   146       1   2.65108200e-03   1.99275008e-03
   146       2   5.69118003e-06   1.89219185e-03
   146       3   1.62883333e-06   5.36838111e-06
   147       1   7.34097247e-03   5.52318714e-03
   147       2   1.19343271e-04   5.09758046e-03
   147       3   3.89815866e-06   8.42046322e-05
   148       1   1.63892762e-02   1.22443532e-02
   148       2   4.61206718e-05   1.15078223e-02
   148       3   1.89909615e-07   3.35165717e-05
   149       1   2.43438455e-02   1.81167933e-02
   149       2   5.45883747e-05   1.68766582e-02
   149       3   5.73500169e-06   4.64983971e-05
   150       1   3.06043303e-02   2.27167964e-02
   150       2   1.69503390e-05   2.11320795e-02
   150       3   1.40079411e-06   9.83435503e-06
   151       1   3.45836074e-02   2.56140989e-02
   151       2   1.20326609e-05   2.37851737e-02
   151       3   6.89202374e-07   9.09773422e-06
   152       1   3.65796139e-02   2.70502615e-02
   152       2   1.06434378e-06   2.51058213e-02
   152       3   1.18990733e-08   7.88585923e-07
   153       1   3.63386095e-02   2.68523535e-02
   153       2   2.33578407e-06   2.49272833e-02
   153       3   4.07032186e-08   1.71599255e-06
   154       1   3.40662579e-02   2.51756738e-02
   154       2   1.23708208e-06   2.33959396e-02
   154       3   1.40577786e-08   9.41015016e-07
   155       1   3.00078879e-02   2.21955126e-02
   155       2   9.03354391e-07   2.06665500e-02
   155       3   3.27468576e-08   7.18829779e-07
   156       1   2.45287132e-02   1.81705910e-02
   156       2   1.10451911e-06   1.69632808e-02
   156       3   3.06517345e-08   9.69771950e-07
   157       1   1.80367870e-02   1.33885224e-02
   157       2   3.12591879e-06   1.25356682e-02
   157       3   9.90894409e-08   2.16800929e-06
   158       1   1.09921783e-02   8.17891211e-03
   158       2   1.94990291e-05   7.67159794e-03
   158       3   1.47337282e-06   1.48489987e-05
   159       1   3.88529224e-03   2.89741436e-03
   159       2   2.56469004e-05   2.75199190e-03
   159       3   1.64286091e-06   1.67746403e-05
   160       1   2.91739646e-03   2.19798519e-03
   160       2   8.66211847e-05   2.12808619e-03
   160       3   1.24244143e-05   7.04568839e-05
   161       1   8.84553270e-03   6.63142468e-03
   161       2   8.59339168e-06   6.30145482e-03
   161       3   9.10872964e-07   1.44469022e-05
   162       1   1.43626573e-02   1.07915407e-02
   162       2   3.73746468e-05   1.02993651e-02
   162       3   1.42640551e-05   3.66216842e-05
   163       1   1.82124495e-02   1.37159437e-02
   163       2   8.18118445e-06   1.30835319e-02
   163       3   9.47903776e-07   7.08555467e-06
